index,QuestionID,Category,Sample Answer,Progress
8,002E5T3,type 5,My birthday is May ninth,False
14,002E5T3,type 5,My birthday is May fifteenth,False
37,002E5T3,type 5,My birthday is 4th of July,False
42,002E5T3,type 5,My birthday is 4th <ano> of December,False
39,002E5T3,type 5,My birthday is 4th of September,False
4,002E5T3,type 5,My birthday is <ano> May fifth,False
25,002E5T3,type 5,My birthday is May twenty <eeto> sixth,False
21,002E5T3,type 5,My birthday is May twenty second,False
10,002E5T3,type 5,My birthday is May eleventh,False
27,002E5T3,type 5,My birthday is May twenty eighth,False
1,002E5T3,type 5,My birthday is May second,False
13,002E5T3,type 5,My birthday is May fourteenth,False
32,002E5T3,type 5,My birthday is <maa> 4th of February,False
20,002E5T3,type 5,My birthday is May twenty first,False
17,002E5T3,type 5,My birthday is May eighteenth,False
33,002E5T3,type 5,My birthday is <eeto> 4th of March,False
29,002E5T3,type 5,My birthday is May thirtieth <ano>,False
0,002E5T3,type 5,My birthday is May first,False
11,002E5T3,type 5,My birthday is May twelfth,False
7,002E5T3,type 5,My birthday is May eighth,False
3,002E5T3,type 5,My birthday is May fourth,False
6,002E5T3,type 5,My birthday is May seventh,False
2,002E5T3,type 5,My birthday is May third <eeto>,False
31,002E5T3,type 5,My birthday is 4th of January,False
40,002E5T3,type 5,My birthday is 4th of October,False
34,002E5T3,type 5,My birthday <ara> is 4th of April,False
18,002E5T3,type 5,My birthday is May nineteenth,False
41,002E5T3,type 5,My birthday is 4th of November,False
22,002E5T3,type 5,My birthday is May twenty third,False
9,002E5T3,type 5,My <eeto> birthday is May tenth,False
16,002E5T3,type 5,My birthday is May seventeenth,False
5,002E5T3,type 5,My <ara> birthday is May sixth,False
28,002E5T3,type 5,My <maa> birthday is May twenty ninth,False
53,003E5R3,type 5,i usually like tuesday,False
84,003E5R3,type 5,i enjoy on sundays,False
51,003E5R3,type 5,i love tuesday,False
60,003E5R3,type 5,i enjoy on wednessdays,False
79,003E5R3,type 5,i like sunday,False
44,003E5R3,type 5,i like monday very much,False
47,003E5R3,type 5,i usually <maa> like monday,False
63,003E5R3,type 5,i love thursday,False
72,003E5R3,type 5,i enjoy on fridays,False
64,003E5R3,type 5,i really <eeto> like thursday,False
56,003E5R3,type 5,i like wednessday very much,False
57,003E5R3,type 5,i love wednessday,False
68,003E5R3,type 5,i like friday very much,False
43,003E5R3,type 5,i like monday,False
54,003E5R3,type 5,i enjoy on tuesdays,False
50,003E5R3,type 5,i like tuesday very much,False
46,003E5R3,type 5,i really like monday,False
49,003E5R3,type 5,i like tuesday <eeto>,False
45,003E5R3,type 5,i love monday,False
70,003E5R3,type 5,i really like friday,False
82,003E5R3,type 5,i really like sunday,False
76,003E5R3,type 5,i really like saturday,False
61,003E5R3,type 5,i like thursday,False
80,003E5R3,type 5,i like sunday very much,False
74,003E5R3,type 5,i like saturday very much,False
52,003E5R3,type 5,i really like tuesday,False
71,003E5R3,type 5,i usually like friday,False
48,003E5R3,type 5,i enjoy on mondays,False
59,003E5R3,type 5,i usually like wednessday,False
83,003E5R3,type 5,i usually like sunday,False
75,003E5R3,type 5,i love saturday,False
65,003E5R3,type 5,i usually like thursday,False
78,003E5R3,type 5,i enjoy <maa> on saturdays,False
148,001E5T1,type 1,i like peaches fruit,False
167,001E5T1,type 1,i am strawberry,False
127,001E5T1,type 1,i like orange,False
91,001E5T1,type 1,i like cherries,False
157,001E5T1,type 1,i like strawberries,False
137,001E5T1,type 1,i am oranges,False
93,001E5T1,type 1,i like cherries very much <ano>,False
172,001E5T1,type 1,i like tomatoes <ara> fruit,False
186,001E5T1,type 1,i eat grapefruit,False
193,001E5T1,type 1,i <ara> like persimmon,False
187,001E5T1,type 1,i like berries,False
173,001E5T1,type 1,i am tomatoes,False
163,001E5T1,type 1,i like strawberry,False
144,001E5T1,type 1,i <ara> eat peach,False
183,001E5T1,type 1,i like grapefruit very much,False
112,001E5T1,type 1,i like kiwis fruit,False
133,001E5T1,type 1,i like oranges,False
195,001E5T1,type 1,i like persimmon very much,False
86,001E5T1,type 1,i want bananas,False
114,001E5T1,type 1,i eat <ara> kiwis,False
125,001E5T1,type 1,i am <ara> melons,False
94,001E5T1,type 1,i like cherries fruit,False
136,001E5T1,type 1,i like oranges fruit,False
117,001E5T1,type 1,i like lemons very much,False
147,001E5T1,type 1,i like peaches very much,False
120,001E5T1,type 1,i eat lemons,False
118,001E5T1,type 1,i like lemons fruit <ara>,False
102,001E5T1,type 1,i eat cherry,False
155,001E5T1,type 1,i am pineapples,False
184,001E5T1,type 1,i like grapefruit fruit,False
151,001E5T1,type 1,i like pineapples,False
178,001E5T1,type 1,i like watermelons fruit,False
149,001E5T1,type 1,i am peaches,False
425,001E5T3,type 5,i love bacon,False
487,001E5T3,type 5,i like nuts,False
406,001E5T3,type 5,i really like steak,False
327,001E5T3,type 5,my favorite food is parfait,False
522,001E5T3,type 5,i love eating okonomiyaki,False
263,001E5T3,type 5,i love fish <ano>,False
347,001E5T3,type 5,i love <ano> popcorn,False
433,001E5T3,type 5,i like onion rings,False
345,001E5T3,type 5,my favorite food is popcorn,False
437,001E5T3,type 5,i love onion rings,False
691,001E5T3,type 5,i like <eeto> nashi goreng,False
730,001E5T3,type 5,i really like tom yum kung,False
439,001E5T3,type 5,i like cookie,False
683,001E5T3,type 5,i love annindofu,False
577,001E5T3,type 5,i like tendon,False
311,001E5T3,type 5,i love noodles,False
550,001E5T3,type 5,i really like champon,False
787,001E5T3,type 5,i like <ara> cupcake,False
257,001E5T3,type 5,i love eggs,False
732,001E5T3,type 5,i love eating tom yum <eeto> kung,False
479,001E5T3,type 5,i love miso soup,False
731,001E5T3,type 5,i love tom yum kung,False
598,001E5T3,type 5,i <eeto> really like dango,False
525,001E5T3,type 5,my favorite food is gyoza <ara>,False
546,001E5T3,type 5,i love eating tempura,False
358,001E5T3,type 5,i really like rice balls,False
766,001E5T3,type 5,i really like <maa> manju,False
332,001E5T3,type 5,let us eat pie,False
676,001E5T3,type 5,i really like pierogi,False
368,001E5T3,type 5,let us eat sandwiches,False
484,001E5T3,type 5,i really like natto,False
427,001E5T3,type 5,i like sweets,False
312,001E5T3,type 5,i love eating noodles,False
827,001E5R3,type 5,i really like cross,False
837,001E5R3,type 5,i really like square,False
838,001E5R3,type 5,i draw square,False
813,001E5R3,type 5,i draw heart,False
811,001E5R3,type 5,i love heart,False
861,001E5R3,type 5,i love trapezoid,False
845,001E5R3,type 5,i like round,False
825,001E5R3,type 5,i like cross,False
809,001E5R3,type 5,you draw star,False
826,001E5R3,type 5,i love cross,False
855,001E5R3,type 5,i like pentagon,False
859,001E5R3,type 5,you draw pentagon,False
834,001E5R3,type 5,you draw triangle,False
823,001E5R3,type 5,i draw circle,False
850,001E5R3,type 5,i like oval,False
860,001E5R3,type 5,i like trapezoid,False
841,001E5R3,type 5,i love rectangle,False
818,001E5R3,type 5,i draw diamond,False
830,001E5R3,type 5,i like triangle,False
863,001E5R3,type 5,i draw trapezoid,False
869,001E5R3,type 5,you draw hexagon,False
815,001E5R3,type 5,i <eeto> like diamond,False
812,001E5R3,type 5,i really <ano> like heart,False
832,001E5R3,type 5,i really like triangle,False
819,001E5R3,type 5,you draw diamond,False
822,001E5R3,type 5,i really like <maa> circle,False
851,001E5R3,type 5,i love oval,False
836,001E5R3,type 5,i love square,False
840,001E5R3,type 5,i like rectangle,False
806,001E5R3,type 5,i love star,False
847,001E5R3,type 5,i really like round,False
868,001E5R3,type 5,i draw hexagon,False
807,001E5R3,type 5,i really <maa> like star,False
941,001E5R1,type 2,i see golden color,False
921,001E5R1,type 2,my favorite color is yellow,False
937,001E5R1,type 2,i love golden,False
929,001E5R1,type 2,i see <eeto> pink color,False
905,001E5R1,type 2,i see purple color,False
942,001E5R1,type 2,i like violet,False
903,001E5R1,type 2,my favorite color is purple,False
933,001E5R1,type 2,my favorite color is silver,False
880,001E5R1,type 2,i love the blue color,False
931,001E5R1,type 2,i love silver,False
935,001E5R1,type 2,i see silver color,False
