id,QuestionID,Category,Sample Answer
1,002E5T3,type 5,My birthday is May fifteenth
2,002E5T3,type 5,My birthday <eeto> is 4th of March
3,002E5T3,type 5,My birthday is May sixteenth
4,002E5T3,type 5,My birthday is May twenty first
5,002E5T3,type 5,My birthday is March seven
6,002E5T3,type 5,My birthday is March thirty <ano>
7,002E5T3,type 5,My birthday is May thirty first
8,002E5T3,type 5,My birthday is March twenty eight
9,002E5T3,type 5,My birthday is March nine
10,002E5T3,type 5,My birthday is March twenty three
11,002E5T3,type 5,My birthday is March twenty two
12,002E5T3,type 5,My birthday is <ano> March five
13,002E5T3,type 5,My birthday is March twenty <eeto> six
14,002E5T3,type 5,My birthday is 4th of February
15,002E5T3,type 5,My birthday is May twenty second
16,002E5T3,type 5,My birthday is 4th of August
17,002E5T3,type 5,My birthday is March nineteen
18,002E5T3,type 5,My birthday is 4th of September
19,002E5T3,type 5,My birthday is May twenty ninth
20,002E5T3,type 5,My birthday is May fifth
21,002E5T3,type 5,My birthday is May eleventh
22,002E5T3,type 5,My birthday is March twenty one
23,002E5T3,type 5,My birthday is March fourteen
24,002E5T3,type 5,My birthday is 4th of June
25,002E5T3,type 5,My birthday is <maa> May second
26,002E5T3,type 5,My birthday is May first
27,002E5T3,type 5,My birthday is <eeto> May third
28,002E5T3,type 5,My birthday is March eleven
29,002E5T3,type 5,My birthday is May twenty fifth
30,002E5T3,type 5,My birthday is March eight
31,002E5T3,type 5,My birthday is May <eeto> sixth
32,002E5T3,type 5,My birthday is March fifteen
33,002E5T3,type 5,My birthday is March eighteen
34,003E5R3,type 5,i usually like tuesday
35,003E5R3,type 5,i enjoy on sundays <ara>
36,003E5R3,type 5,i love tuesday
37,003E5R3,type 5,i enjoy <ano> on wednessdays
38,003E5R3,type 5,i like sunday
39,003E5R3,type 5,i like monday very much
40,003E5R3,type 5,i usually <maa> like monday
41,003E5R3,type 5,i love thursday <eeto>
42,003E5R3,type 5,i enjoy on fridays
43,003E5R3,type 5,i really like thursday
44,003E5R3,type 5,i like wednessday very much
45,003E5R3,type 5,i love wednessday
46,003E5R3,type 5,i like friday very much
47,003E5R3,type 5,i like monday
48,003E5R3,type 5,i enjoy <ara> on tuesdays
49,003E5R3,type 5,i like tuesday very much
50,003E5R3,type 5,i really like monday
51,003E5R3,type 5,i like tuesday
52,003E5R3,type 5,i love monday
53,003E5R3,type 5,i really like friday
54,003E5R3,type 5,i really like sunday
55,003E5R3,type 5,i really like saturday
56,003E5R3,type 5,i like thursday
57,003E5R3,type 5,i like sunday <ara> very much
58,003E5R3,type 5,i like saturday very much
59,003E5R3,type 5,i really like tuesday
60,003E5R3,type 5,i usually like friday
61,003E5R3,type 5,i enjoy on mondays
62,003E5R3,type 5,i usually like wednessday
63,003E5R3,type 5,i usually like sunday
64,003E5R3,type 5,i love saturday
65,003E5R3,type 5,i usually like thursday
66,003E5R3,type 5,i enjoy on saturdays
67,001E5T1,type 1,i <ano> want grapefruit
68,001E5T1,type 1,i want watermelon
69,001E5T1,type 1,i eat <ano> strawberries
70,001E5T1,type 1,i eat strawberry
71,001E5T1,type 1,i like watermelon very much
72,001E5T1,type 1,i eat oranges
73,001E5T1,type 1,i <ara> like berry fruit
74,001E5T1,type 1,i like melon very much
75,001E5T1,type 1,i want oranges
76,001E5T1,type 1,i like grapes fruit
77,001E5T1,type 1,i eat melon
78,001E5T1,type 1,i like peaches
79,001E5T1,type 1,i want cherry
80,001E5T1,type 1,i am <eeto> berries
81,001E5T1,type 1,i eat berry
82,001E5T1,type 1,i am grapes
83,001E5T1,type 1,i like apples fruit
84,001E5T1,type 1,i like kiwis
85,001E5T1,type 1,i am <maa> tomatoes
86,001E5T1,type 1,i want melons
87,001E5T1,type 1,i want kiwi
88,001E5T1,type 1,i want grapes
89,001E5T1,type 1,i like strawberries fruit
90,001E5T1,type 1,i like persimmon fruit
91,001E5T1,type 1,i like strawberries very much
92,001E5T1,type 1,i like lemon fruit
93,001E5T1,type 1,i <ara> want cherries
94,001E5T1,type 1,i eat kiwis
95,001E5T1,type 1,i like <ara> apples
96,001E5T1,type 1,i like kiwi fruit
97,001E5T1,type 1,i eat cherries
98,001E5T1,type 1,i want strawberries
99,001E5T1,type 1,i eat watermelon
100,001E5T3,type 5,i love soba
101,001E5T3,type 5,i like sausages
102,001E5T3,type 5,i love eating kimchi
103,001E5T3,type 5,i like sandwiches
